TCGA-AB-2845:SRR122809.sra,SRR122810.sra
TCGA-AB-2888:SRR122805.sra,SRR122806.sra
TCGA-AB-2908:SRR122797.sra,SRR122798.sra
TCGA-AB-2909:SRR122799.sra,SRR122800.sra
TCGA-AB-2949:SRR122811.sra,SRR122812.sra
TCGA-AB-2981:SRR122813.sra,SRR122814.sra
TCGA-AB-2982:SRR122803.sra,SRR122804.sra
TCGA-AB-2988:SRR122801.sra,SRR122802.sra
TCGA-AB-2990:SRR122807.sra,SRR122808.sra
TCGA-AB-2999:SRR122815.sra,SRR122816.sra
