GM12042	GSM420749
GM12043	GSM420750
GM12043	GSM420751
GM12044	GSM420752
GM12044	GSM420753
GM12045	GSM420754
GM12045	GSM420755
GM12046	GSM420756
GM12046	GSM420757
GM12047	GSM420758
GM12048	GSM420759
GM12049	GSM420760
GM12050	GSM420761
GM12051	GSM420762
GM12052	GSM420763
GM12053	GSM420764
GM12054	GSM420765
GM12056	GSM420766
GM12057	GSM420767
GM12058	GSM420768
GM12089	GSM420769
GM12092	GSM420770
GM12093	GSM420771
GM12094	GSM420772
GM12095	GSM420773
GM12096	GSM420774
GM12097	GSM420775
GM12099	GSM420776
GM12100	GSM420777
GM12101	GSM420778
GM12102	GSM420779
GM12106	GSM420780
GM12107	GSM420781
GM12108	GSM420782
GM12111	GSM420783
GM12112	GSM420784
GM12115	GSM420785
GM12116	GSM420786
GM12117	GSM420787
GM12138	GSM420788
GM12139	GSM420789
GM12141	GSM420790
GM12142	GSM420791
GM12143	GSM420792
GM12144	GSM420793
GM12144	GSM420794
GM12145	GSM420795
GM12145	GSM420796
GM12146	GSM420797
GM12146	GSM420798
GM12147	GSM420799
GM12148	GSM420800
GM12149	GSM420801
GM12150	GSM420802
GM12151	GSM420803
GM12152	GSM420804
GM12153	GSM420805
GM12154	GSM420806
GM12154	GSM420807
GM12155	GSM420808
GM12156	GSM420809
GM12156	GSM420810
GM12157	GSM420811
GM12229	GSM420812
GM12230	GSM420813
GM12231	GSM420814
GM12232	GSM420815
GM12233	GSM420816
GM12234	GSM420817
GM12235	GSM420818
GM12236	GSM420819
GM12236	GSM420820
GM12237	GSM420821
GM12238	GSM420822
GM12239	GSM420823
GM12239	GSM420824
GM12240	GSM420825
GM12241	GSM420826
GM12243	GSM420827
GM12245	GSM420828
GM12246	GSM420829
GM12247	GSM420830
GM12248	GSM420831
GM12248	GSM420832
GM12249	GSM420833
GM12249	GSM420834
GM12250	GSM420835
GM12250	GSM420836
GM12251	GSM420837
GM12251	GSM420838
GM12252	GSM420839
GM12253	GSM420840
GM12263	GSM420841
GM12264	GSM420842
GM12265	GSM420843
GM12266	GSM420844
GM12267	GSM420845
GM12268	GSM420846
GM12270	GSM420847
GM12271	GSM420848
GM12272	GSM420849
GM12272	GSM420850
GM12273	GSM420851
GM12273	GSM420852
GM12274	GSM420853
GM12274	GSM420854
GM12275	GSM420855
GM12275	GSM420856
GM12276	GSM420857
GM12277	GSM420858
GM12278	GSM420859
GM12279	GSM420860
GM12280	GSM420861
GM12281	GSM420862
GM12282	GSM420863
GM12282	GSM420864
GM12283	GSM420865
GM12283	GSM420866
GM12284	GSM420867
GM12285	GSM420868
GM12286	GSM420869
GM12286	GSM420870
GM12287	GSM420871
GM12287	GSM420872
GM12328	GSM420873
GM12329	GSM420874
GM12330	GSM420875
GM12331	GSM420876
GM12333	GSM420877
GM12334	GSM420878
GM12335	GSM420879
GM12336	GSM420880
GM12337	GSM420881
GM12338	GSM420882
GM12339	GSM420883
GM12340	GSM420884
GM12341	GSM420885
GM12342	GSM420886
GM12344	GSM420887
GM12345	GSM420888
GM12346	GSM420889
GM12347	GSM420890
